分析文本,积极情感,消极情感,sentiment,confidence
         这货能不能不上映哇，这类题材以后能不能不拍摄哇！大家现在都不是傻子！,0.0323263,0.967674,0,0.928164
         没看过，可我就想黑,0.392835,0.607165,0,0.127034
         没看过，我是来打分的。。怒给一星,0.303149,0.696851,0,0.326336
 国产电影,0.538228,0.461772,1,0.235444
         我只是来跟大众打一星~~~渡江的结果大家都喜闻乐见了~~喜闻乐见,0.204821,0.795179,0,0.544842
         我也参与，就给你一颗星，看你以后还想拍这类电影不！,0.0348404,0.96516,0,0.922577
 就是打个分而已,0.427111,0.572889,0,0.0508638
         草你们妈。打自己人打的飞起，妈的打鬼子的时候人呢,0.124682,0.875318,0,0.72293
         无耻,0.383947,0.616053,0,0.146785
         辣鸡！辣鸡！,0.624122,0.375878,2,0.164716
         你说拍拍抵御入侵的不管多假忍忍就算了。。你说这种内战的片子拍出来干啥？一粉顶十黑？,0.0123727,0.987627,0,0.972505
         我注册了这个帐号就是为了给它一个一星。,0.204862,0.795138,0,0.544751
         垃圾,0.0712529,0.928747,0,0.84166
         弱智洗脑,0.428801,0.571199,0,0.0471098
         就是要黑它 ,0.459287,0.540713,1,0.185735
         不知道千里渡江啥意思，作为每天过南京长江大桥的人表示公交过江十来分钟，没有那么宽，智商低最好不要拍片,0.0949,0.9051,0,0.789111
 渡你妈了个逼 ,0.252458,0.747542,0,0.438982
         大爷！大爷！,0.417665,0.582335,0,0.0718553
         给一星都嫌多。,0.402152,0.597848,0,0.106329
         洗脑电影,0.52455,0.47545,1,0.508993
         连个预告片都做不好的电影能好看么。。。。,0.147971,0.852029,0,0.671175
         一分给章龄之清新。一分给成龙,0.7152,0.2848,2,0.36711
         渡尼玛的隔壁,0.23309,0.76691,0,0.482023
         不涉及zz问题，这个片子就是很烂啊，简直是侮辱电影艺术。,0.0491313,0.950869,0,0.890819
         对ZZ没兴趣，就电影的角度说居然能拍成这样，NB。我还以为是地道战时代的。。。。本人表示没看过,0.100129,0.899871,0,0.77749
         这些影评倒是笑死人,0.219888,0.780112,0,0.511359
 匪军翻天,0.539068,0.460932,1,0.218635
         烂片！烂片！,0.578043,0.421957,2,0.0623184
         长江风雨民族殇，百万土匪过大江。打过长江去，祸害全中国。这电影该叫南京南京,0.485814,0.514186,1,0.71628
         主旋律的影片，但是拍的并不好，主旋律题材怎么拍才能好看是个很难的问题哎,0.134341,0.865659,0,0.701464
         那家打的五星,0.644658,0.355342,2,0.210351
         电影频道在放看了点…标准的国民党炮弹炸人堆一个没炸死  真的是侮辱先烈,0.180226,0.819774,0,0.599498
         我也不评论了，～～～～～～～～，我报警,0.196198,0.803802,0,0.564005
         哈哈哈 来打分。    嘻嘻 ,0.91383,0.0861698,2,0.808512
         电影没看过，给1分就是任性,0.536868,0.463132,1,0.262649
         好像时光网那里可以打负分的，河东狮吼2就是负分的,0.624988,0.375012,2,0.166641
         看了影响健康。。。。 ,0.43811,0.56189,0,0.0264222
         给个一星不解释，因为没有更烂,0.0316118,0.968388,0,0.929752
         一分献给党,0.531593,0.468407,1,0.368137
         洗脑！洗脑！,0.432394,0.567606,0,0.0391236
         没看过，但是觉得很厉害，给个差评吧！,0.0660506,0.933949,0,0.853221
         同室操戈本来是民族悲剧，你拍电影出来既歌颂不了共产党，也诋毁不了国民党！,0.00877892,0.991221,0,0.980491
         大家黑，我也跟着黑好了。,0.31152,0.68848,0,0.307734
 刷分,0.468539,0.531461,1,0.370781
         烂片，烂到海枯石烂,0.259338,0.740662,0,0.423694
