分析文本,积极情感,消极情感,sentiment,confidence
 一颗星给标题里的“2016”,0.181688,0.818312,0,0.59625
         拿着老百姓的钱拍这种片子，我想知道会有票房吗？,0.234912,0.765088,0,0.477973
 助攻+1,0.490037,0.509963,1,0.800736
 怎么给负分？,0.177854,0.822146,0,0.604768
         剧情如此清奇的红色主旋律影片你值得一看，而且我还知道此片接下来肯定会在中小学叫轮番放映。,0.552796,0.447205,2,0.00621226
         顺手差评,0.0563627,0.943637,0,0.87475
 我靠，我没活在样板戏年代吧,0.170511,0.829489,0,0.621086
         Fuck you asshole!,0.515022,0.484978,1,0.699552
         我要是打五星的话~组织会吸收我吗？,0.489373,0.510627,1,0.787454
         F**K C*C*P,0.204982,0.795018,0,0.544483
         看名字就很傻逼,0.608396,0.391604,2,0.129769
         看过预告片,0.510711,0.489289,1,0.785782
         拿到曹县去放吧，哈哈哈,0.612756,0.387244,2,0.139457
 很多细节有问题，但是女主演得还不错，有点像汤唯。,0.207208,0.792792,0,0.539538
         垃圾,0.0712529,0.928747,0,0.84166
 拍电影的从来不理解什么是真正的共产主义,0.384583,0.615417,0,0.14537
         导演编剧都应该抓进去 把我党拍出xie jiao即视感,0.679979,0.320021,2,0.288841
         顶我一下，我就喂那个叫3781的一囗屎。,0.367895,0.632105,0,0.182455
 太好看了！！！真是太好看了！！！,0.612738,0.387262,2,0.139418
         去死,0.440511,0.559489,0,0.0210872
 豆瓣 你能不能出负分！！！,0.15274,0.84726,0,0.660578
 让我们更加紧密地团结在党中央周围 为实现中华民族伟大复兴的中国梦而不懈奋斗！,0.7571,0.2429,2,0.460222
         谁是党？,0.273217,0.726783,0,0.392852
         一星献给党。,0.276588,0.723412,0,0.38536
         非得拍出一两种酷刑的过程来表现主角不怕死。酷刑得太恶心了,0.123588,0.876412,0,0.72536
         我就是来打个分的,0.665187,0.334813,2,0.255972
         恭喜,0.560893,0.439107,2,0.0242058
         看完我湿润了,0.527433,0.472567,1,0.45135
         小妹纸不错水滴滴的。一个字润,0.733479,0.266521,2,0.407731
         0分献给您,0.440419,0.559581,0,0.0212916
         现在拍这种片子的人脑子被门挤了吗,0.132903,0.867097,0,0.704659
 3D效果不错，看完整个人都升华了。以后即使打战，我们党员冲在最前面保护市民，这就是党员的作用。,0.985626,0.0143736,2,0.968059
         这个分我给高了,0.460041,0.539959,1,0.20083
         实在是太感人了，但我还是忍不住笑啊，哈哈哈哈哈23333333,0.824383,0.175617,2,0.60974
 真的很感人，小灵芝是每一个中国少年的好榜样。现在我们活在来之不易的和平年代，还有什么理由不努力呢？两个一百年的伟大理想切记不能忘却，为了无数为了共产主义事业而献身的人们。好电影！,0.54796,0.45204,1,0.0408041
         呃，那她妈是谁。,0.152227,0.847773,0,0.661718
         ？啥玩意主旋律？就算要思想宣传也不是你这样的啊？,0.029822,0.970178,0,0.933729
         主旋律的渲染太硬了，给一星都嫌高了……,0.0535747,0.946425,0,0.880945
         所以尹灵芝她妈是谁,0.26129,0.73871,0,0.419356
         虽然没看过电影，就这名字，顾名思义，能先给差评,0.2905,0.7095,0,0.354445
         信仰啊 她不是个东西,0.253166,0.746834,0,0.437409
         不解释,0.178583,0.821417,0,0.603149
 太经典,0.380671,0.619329,0,0.154064
         七一果然来了,0.67026,0.32974,2,0.267245
         题材是个好题材，就是让编剧给糟蹋了,0.426651,0.573349,0,0.0518856
         哎呦呦好可怕，信党得永生,0.2571,0.7429,0,0.428666
         嗯 党不是一个人的党，是是十三亿人的党，导演意义何在？,0.54781,0.45219,1,0.0438011
         能再低点吗,0.160728,0.839272,0,0.642826
         可以，这片名很一星,0.598495,0.401505,2,0.107767
         国家请不起水军吗？刚才看了一个sb只发过一遍评论看过一个电影然后5星好评，大部分5星都是7.1注册的情况基本一样，亲爱的党你们水军是请不起吗？一点没起到刷分刷评的作用,0.035414,0.964586,0,0.921302
         我是负分，来操我吧！,0.244444,0.755556,0,0.456791
 看到片名一星肯定不会错,0.0953283,0.904672,0,0.788159
         还是现在的小孩好，过去俺们都是被学校强迫去看这类题材的电影。拍得好当然教育人，拍成这样，简直亵渎革命题材。,0.610887,0.389113,2,0.135304
 打5星，先不是为这部电影，而是致敬中国共产党。从建立走到今天，建立了新中国，经历了风风雨雨，现在还在四面楚歌的社会下拼死撑起一片天……还要养活一大群白眼狼，真的很不容易。中国共产党，95周岁生日快乐，为下一个95年敬你一杯。信念，中国，努力。,0.944782,0.0552183,2,0.877293
         Future专辑封面风格设计海报。盗梦空间大师级配乐。商业与艺术的结合燃烧预算“炸火车”开局。导演卫晓茼称：克里斯托弗·诺兰的《蝙蝠侠：黑暗骑士》影响了我的创作道路。深入浅出讨论信仰，有限剧情引爆密集信息量。主旋律电影中的精致异类。续作《党的儿子施人参》已在路上，有望诚邀晓明零酬出演。,0.863157,0.136843,2,0.695905
         你们以商业片的标准去看待这种电影？？,0.140375,0.859625,0,0.688056
         好臘肉，不吃嗎？,0.195407,0.804593,0,0.565762
         那些说看过打一星的喷油们，说说不好看的细节，别没看过，装看过,0.0601701,0.93983,0,0.866289
         党的光芒照四方,0.628716,0.371284,2,0.174924
         必须五星！不为电影为了党！这个时候，还能有这样的题材已经非常不容易！,0.941472,0.0585278,2,0.869938
 整部电影的画面和色彩非常不错，看着非常柔和舒服。几位主演尹灵芝、她父亲、还有给她指派工作的领导演技都非常到位。,0.995353,0.00464677,2,0.989674
可能是预算的原因，开篇炸火车的场面处理比较简单,0.319652,0.680348,0,0.289663
 小小年纪的尹灵芝为了“信仰”献出了自己宝贵的生命，可歌可泣！,0.518631,0.481369,1,0.627379
         好！,0.802032,0.197968,2,0.560072
         太气愤了，我要为尹灵芝鸣不公。很多人都没看过就凭自己直觉妄加评论，你们从哪里看过？大部分差评都是七月一日之前评论的，我7月一首映才看。你们说话要凭良心，这是一部和以往主旋律不一样的片子，看过的人都有所触动。,0.006914,0.993086,0,0.984636
         五分给老戏骨,0.659001,0.340999,2,0.242225
 现在是信仰缺失的时代，我希望大家都去看一看电影《党的女儿尹灵芝》，到那里去寻找信仰吧！,0.433729,0.566271,0,0.0361574
         眼下最需要的就是每个人心中的“信仰”。适合当下每个共产党员都应该看看这部影片，让他们重温入党誓词、党章、党规…,0.793624,0.206376,2,0.541387
         通篇没有出现任何NBA、HP之类的英文字眼，完全看得懂，符合总局精神，符合广大人民群众的价值观。,0.869462,0.130538,2,0.709916
         《党的女儿尹灵芝》不一定大卖（因为好多人的灵魂出问题了），但在我心里她是一部好的电影！！！,0.341588,0.658412,0,0.240915
         看了党的女儿尹灵芝感受很深，现在还有多少人能记住英雄的名子，还有多少人懂得信仰的含义。党的女儿尹灵芝，一个十七岁花季女孩，能为共产主义信仰，把自己的生死置之度外，为了保住粮食，不惜牺牲自己的生命，她值得我们学习，更值得我们去思索,0.985022,0.0149781,2,0.966715
         只因为今天是党的生日,0.421306,0.578694,0,0.0637644
         存在即合理，历史选择共产主义，就有它成功的道理。,0.904343,0.0956567,2,0.787429
 这部电影全景展现了尹灵芝烈士的英雄事迹，在敌人的威逼利诱下没有屈服。虽然这部片中没有大牌明星助阵，但是仍然刻画的入木三分。作为十九大推荐影视，你值得拥有！,0.949386,0.0506138,2,0.887525
 本片是为了纪念新四军刘老庄连牺牲的82名英雄而拍摄的影片 赵毅在剧中饰演的是新四军四连连长白思才 一个具有极高军事才能的神枪手 一个为国捐躯高风亮节的民族英雄 电影力求真实 对于白思才的刻画也非常自然和准确 他饰演的这位连长并不是完全的“高大全”式英雄人物 而是有血有肉 真实细腻的一位军人,0.968272,0.0317275,2,0.929494
         普通战争片的基本标准都做到了，放开了炸。换俘的情节有点意思，可是入党签字我就看不懂了。,0.245154,0.754846,0,0.455212
         吾国计有傻比一石，夫豆瓣独占八斗，最看不得你们拿烈士开涮。,0.0947448,0.905255,0,0.789456
         还可以，至少日本人说日语。,0.741121,0.258879,2,0.424713
         活动影片,0.698287,0.301713,2,0.329527
         那个貌似很重要的俘虏有什么用？,0.333311,0.666689,0,0.259308
         至少不是神剧。历史得用心去整理记录，要不难以服众。,0.117862,0.882138,0,0.738084
         充斥着无数抗日经典旋律，比如说所有老乡撤离了但总有那么一个没走的，比如连长和戴着眼镜的指导员起初不和但最后哥俩好的，比如我军将士百发百中以一敌百但真实是82人壮烈牺牲也没换走小鬼子二百人。但不管怎么说，历史需要被铭记，英雄需要被缅怀。我家革命老太太看得开心，比什么都好。,0.862713,0.137287,2,0.694918
         有进步，不过还是没有摆脱中国类型片的惯性,0.57345,0.42655,2,0.0521106
         中规中矩 但被感动到了...,0.800296,0.199704,2,0.556214
         央视电影频道看的，清晰度可以，八一熟悉的开头，怀念小时候八一厂出品电影。当怀旧电影看的，还可以。,0.930273,0.0697265,2,0.845052
         其实抛开其他因素来说，我真的被感动了。特别是到后面”共产党员站出来”的时候，更是抑制不住自己的感情。,0.950442,0.0495579,2,0.889871
         “狙击手的眼睛，不要被泪水模糊了视线”,0.108544,0.891456,0,0.75879
 不是看不下去的那种。我很认真的看完了。,0.357556,0.642444,0,0.205431
         电影里明显有不少夸大CF恩怨，但是烈士还是值得尊敬的,0.522581,0.477419,1,0.548375
 就当纪念抗日英烈吧！,0.482919,0.517081,1,0.658388
         集体观看，硬伤颇多,0.486832,0.513168,1,0.736643
         我看到的是战斗精神，虽然有些地方不对劲。但是我觉得这个精神是对的。为啥评分那么低？,0.282337,0.717663,0,0.372584
         今天在家陪爷爷看的，不明白怎么那么多人打一星,0.166886,0.833114,0,0.629143
         苏北淮安一带的抗战，我是不得不佩服常凯申的，搞了个游击区，最后溜的溜，做伪军的做伪军。82人代价换取日伪一百多人，是场小战役，但全连殉国不值得歌颂？国军会战是牵制了日军兵力不错，但那战绩没这么漂亮吧，就是国军最漂亮的台儿庄会战双方战损也才2:1。电影拍的好不好其次，史实能乱改？,0.242765,0.757236,0,0.460523
 打一星的都看过这个电影吗？和以往的国内军事片相比，没有领导人的高瞻远瞩，也没有太多的言情戏……,0.0655553,0.934445,0,0.854321
         知道了，新四军真好。,0.867425,0.132575,2,0.70539
         我是挑最近年代的来看的，希望片子的画面会清晰一点，不过我没有觉得多好看，因为中国大部分抗日电影都那么老套，看多就腻了。我希望从一种新的角度观来拍，把重点放在某个人上，然后周围的人是外界。就像一个人的成长一样。我的观点是要推陈出新，才能引人注目。,0.966827,0.0331732,2,0.926282
         窃以为不论国共，杀倭报国者都是英雄，值得尊敬，不能因为尊敬国军而忘记共军的牺牲，电影拍的就那样，但对打一星的表示无语,0.0505036,0.949496,0,0.88777
         首先，我就是刘老庄人，其次就这个战争来说还是很惨烈，老一辈人是为了掩护中央重要领导，他们就是所谓的敢死队，只不过和谐社会不给说，是为建国做出贡献一百大战役之一，拍的不咋的，没以前那个版本好，还有就是拍片的季节不对，我们这边三月十八很冷的，树不可能有那么多叶子，更不可能有老玉米地。,0.0153111,0.984689,0,0.965975
         我就是当地人，这部拍的跟现实的一点都不相符！3月18我们那边哪来的玉米地？,0.137493,0.862507,0,0.694459
         看到短评里有说：指战员是指挥士兵战斗的将领，这个代价只换来一百多敌人的人头不够看……请先去了解下什么叫指战员吧，百科中有。虽然影片中虚构的情节确实很假，但不影响影片把想讲的内容的内容讲完讲好,0.0720587,0.927941,0,0.83987
